music_id,singer_id,role
10001,4,Main Artist
10002,102,Main Artist
10003,90,Main Artist
10004,140,Main Artist
10004,102,Featuring
10005,240,Main Artist
10006,99,Main Artist
10007,157,Main Artist
10007,166,Featuring
10008,162,Main Artist
10009,434,Main Artist
10010,253,Main Artist
10011,46,Main Artist
10011,367,Featuring
10012,280,Main Artist
10013,13,Main Artist
10014,133,Main Artist
10015,240,Main Artist
10015,497,Featuring
10016,147,Main Artist
10017,327,Main Artist
10017,118,Featuring
10018,343,Main Artist
10019,518,Main Artist
10019,587,Featuring
10020,155,Main Artist
10021,142,Main Artist
10021,567,Featuring
10022,158,Main Artist
10023,334,Main Artist
10023,593,Featuring
10024,588,Main Artist
10025,164,Main Artist
10025,485,Featuring
10026,64,Main Artist
10026,508,Featuring
10027,585,Main Artist
10028,556,Main Artist
10028,276,Featuring
10029,40,Main Artist
10030,541,Main Artist
10031,552,Main Artist
10031,329,Featuring
10032,156,Main Artist
10033,62,Main Artist
10034,549,Main Artist
10035,328,Main Artist
10036,386,Main Artist
10037,350,Main Artist
10038,506,Main Artist
10039,489,Main Artist
10040,560,Main Artist
10040,128,Featuring
10041,571,Main Artist
10042,530,Main Artist
10043,153,Main Artist
10044,421,Main Artist
10045,518,Main Artist
10046,66,Main Artist
10047,168,Main Artist
10048,25,Main Artist
10049,516,Main Artist
10050,29,Main Artist
10051,244,Main Artist
10052,433,Main Artist
10053,11,Main Artist
10054,386,Main Artist
10055,406,Main Artist
10056,447,Main Artist
10057,211,Main Artist
10058,596,Main Artist
10059,320,Main Artist
10059,37,Featuring
10060,138,Main Artist
10060,27,Featuring
10061,414,Main Artist
10061,84,Featuring
10062,291,Main Artist
10062,596,Featuring
10063,246,Main Artist
10064,80,Main Artist
10065,440,Main Artist
10065,13,Featuring
10066,210,Main Artist
10067,212,Main Artist
10068,51,Main Artist
10069,493,Main Artist
10070,168,Main Artist
10070,337,Featuring
10071,415,Main Artist
10072,360,Main Artist
10073,272,Main Artist
10074,189,Main Artist
10075,452,Main Artist
10075,426,Featuring
10076,597,Main Artist
10077,192,Main Artist
10078,38,Main Artist
10078,529,Featuring
10079,537,Main Artist
10080,480,Main Artist
10081,569,Main Artist
10082,105,Main Artist
10083,377,Main Artist
10084,488,Main Artist
10085,39,Main Artist
10085,220,Featuring
10086,391,Main Artist
10087,285,Main Artist
10088,143,Main Artist
10089,594,Main Artist
10090,586,Main Artist
10090,129,Featuring
10091,66,Main Artist
10092,552,Main Artist
10092,118,Featuring
10093,12,Main Artist
10093,107,Featuring
10094,280,Main Artist
10095,478,Main Artist
10096,256,Main Artist
10097,5,Main Artist
10098,209,Main Artist
10099,185,Main Artist
10100,407,Main Artist
10100,468,Featuring
10101,578,Main Artist
10102,386,Main Artist
10103,42,Main Artist
10103,271,Featuring
10104,573,Main Artist
10105,187,Main Artist
10106,198,Main Artist
10107,444,Main Artist
10108,251,Main Artist
10109,436,Main Artist
10110,33,Main Artist
10110,478,Featuring
10111,140,Main Artist
10112,140,Main Artist
10113,327,Main Artist
10114,103,Main Artist
10114,316,Featuring
10115,554,Main Artist
10116,126,Main Artist
10117,264,Main Artist
10117,445,Featuring
10118,313,Main Artist
10119,407,Main Artist
10120,579,Main Artist
10121,350,Main Artist
10121,294,Featuring
10122,582,Main Artist
10122,107,Featuring
10123,189,Main Artist
10124,388,Main Artist
10125,204,Main Artist
10126,349,Main Artist
10126,558,Featuring
10127,584,Main Artist
10128,118,Main Artist
10129,348,Main Artist
10130,505,Main Artist
10131,541,Main Artist
10132,205,Main Artist
10133,236,Main Artist
10134,308,Main Artist
10134,324,Featuring
10135,597,Main Artist
10135,31,Featuring
10136,292,Main Artist
10137,546,Main Artist
10137,417,Featuring
10138,512,Main Artist
10138,371,Featuring
10139,263,Main Artist
10139,216,Featuring
10140,224,Main Artist
10141,126,Main Artist
10142,195,Main Artist
10143,530,Main Artist
10144,233,Main Artist
10145,395,Main Artist
10146,276,Main Artist
10147,14,Main Artist
10148,327,Main Artist
10149,49,Main Artist
10150,165,Main Artist
10151,352,Main Artist
10152,116,Main Artist
10153,134,Main Artist
10153,418,Featuring
10154,299,Main Artist
10155,372,Main Artist
10156,399,Main Artist
10157,568,Main Artist
10158,505,Main Artist
10159,598,Main Artist
10160,497,Main Artist
10161,160,Main Artist
10161,600,Featuring
10162,171,Main Artist
