music_id,title,release_year,genre_id,type_id,created_at
1,Thế giữa,2000,6,2,2000-05-17 03:52:10
2,Để trong,2002,3,3,2002-05-30 15:23:35
3,Nhiều nào để,2023,1,3,2024-02-20 17:01:28
4,Đúng gần,2008,5,3,2008-08-25 09:40:03
5,Vẫn,2020,6,3,2020-09-03 01:36:19
6,Nơi rất đúng,2015,5,1,2015-11-05 01:20:53
7,Cũng số,2006,10,2,2006-12-29 13:47:18
8,Như dưới vài,2023,5,3,2023-09-06 21:03:56
9,Và đến,2020,8,3,2020-01-19 05:17:46
10,Có,2024,10,1,2025-01-20 01:38:21
11,Với vì cũng,1997,4,4,1997-07-24 13:44:40
12,Vài,2007,1,4,2007-02-07 17:00:30
13,Tại hơn,1997,8,2,1997-06-12 19:58:12
14,Như là,2018,4,1,2018-06-25 23:28:02
15,Với không từng,2012,8,4,2013-02-10 02:59:13
16,Chưa vẫn nào với,2001,7,1,2002-02-06 17:12:15
17,Nếu tự hơn,2024,1,2,2024-12-17 12:08:51
18,Điều bên theo,1998,3,1,1998-07-12 13:28:32
19,Nhưng về làm,2011,8,1,2011-11-17 22:05:05
20,Hoặc nơi,2024,8,3,2024-11-11 16:00:02
21,Nơi đúng bên,1997,8,1,1997-08-06 13:17:34
22,Như gần nếu,2023,1,3,2023-07-25 06:37:09
23,Tại như,1995,10,2,1995-05-31 23:41:47
24,Vậy,2020,5,3,2020-10-09 02:49:36
25,Hơn nơi đó rất,2006,7,1,2007-01-02 00:27:44
26,Cũng,1995,5,1,1995-11-23 14:54:09
27,Và nào như,2014,7,3,2014-08-11 05:53:37
28,Về tại,2012,8,1,2013-02-25 09:17:08
29,Đang này đang trong,2007,10,4,2007-10-03 12:58:55
30,Theo các,2002,6,4,2002-03-08 09:56:57
31,Từ hơn bạn,2024,5,1,2024-11-16 14:33:32
32,Rất vậy điều,2025,9,2,2025-10-14 08:03:32
33,Này tại tôi,2006,1,4,2006-11-07 13:57:59
34,Các đi thế,1997,10,2,1997-10-21 07:49:15
35,Trong hoặc,2001,3,2,2001-05-26 22:07:19
36,Này của giống,2005,4,1,2005-09-17 17:34:55
37,Tại người như,2001,10,1,2002-03-18 14:39:33
38,Và là với,2022,6,2,2023-04-10 12:34:04
39,Như như các,2008,9,4,2008-11-30 21:56:03
40,Giống đi,2005,8,4,2005-11-13 07:19:32
41,Có các,2016,1,4,2016-09-02 01:06:18
42,Về đang,2024,3,2,2025-05-20 14:45:13
43,Về như thay như,2010,3,1,2010-12-14 22:36:32
44,Với đi,2025,9,4,2025-11-02 05:22:12
45,Về là,2018,7,2,2018-12-23 15:47:52
46,Cách hoặc từ số,1997,2,1,1997-09-11 20:13:28
