music_id,title,release_year,genre_id,type_id,created_at
1,Lớn thế này,2002,4,1,2003-02-05 18:52:38
2,Để đã,2015,5,4,2015-04-19 11:19:20
3,Dưới sẽ,1995,9,3,1995-03-08 08:54:44
4,Hoặc như với,1998,4,1,1999-01-15 16:07:46
5,Của mỗi mà,2006,7,2,2006-11-09 22:47:16
6,Tự bạn,2023,2,3,2023-07-21 00:37:12
7,Tự là,1998,7,2,1999-02-06 21:25:58
8,Mỗi làm cái,2016,8,2,2016-09-28 04:20:13
9,Tại để cho,1998,10,2,1998-11-11 08:25:46
10,Cũng tôi,2018,1,1,2018-05-21 17:22:20
11,Hơn,2014,1,4,2015-01-26 18:57:37
12,Vẫn từng nhiều,1998,1,2,1998-07-10 21:07:42
13,Vài số,2019,2,4,2019-07-15 15:52:42
14,Là chưa sau,2020,8,4,2020-07-08 05:11:05
15,Từ các,2005,8,1,2005-04-30 01:38:38
16,Để một vậy,2010,4,3,2011-01-13 13:45:37
17,Hoặc từng,2005,5,2,2005-11-24 10:25:00
18,Với hơn,2025,8,3,2025-05-20 06:00:58
19,Bạn thì,2011,10,4,2012-03-06 01:12:51
20,Tại và,2012,5,1,2012-10-10 09:38:31
21,Đang đó,2005,8,4,2005-03-24 12:51:23
22,Bên,2002,3,2,2003-05-03 07:16:35
23,Rất,2003,5,2,2003-12-19 15:45:14
24,Với thay để,2017,2,3,2017-11-18 20:03:27
25,Đi gần,2019,3,2,2019-04-11 00:26:20
26,Được này,2018,10,2,2018-10-19 01:44:23
27,Từng,2004,6,4,2004-08-09 12:31:07
28,Vẫn để,2010,10,2,2010-12-20 15:34:58
29,Thế một,1997,4,3,1997-07-18 00:17:35
30,Thì như,2006,3,1,2007-02-14 11:26:15
31,Làm trong,2023,1,3,2024-03-24 08:42:01
32,Là rất,2009,5,1,2009-04-10 08:33:44
33,Nếu với số bên,2022,9,3,2022-11-13 15:13:16
34,Để,2001,1,2,2001-05-21 14:51:09
35,Chưa đến người,2018,7,2,2019-01-16 05:48:23
36,Từ nếu,2019,1,4,2019-09-24 10:38:08
37,Các mỗi,2019,7,3,2020-05-02 15:09:43
38,Tại thì,2014,3,3,2015-01-13 10:23:57
39,Vài cũng,1995,5,1,1996-03-22 14:51:09
