user_id,music_id,added_at
3574,13128,2019-03-06 02:40:21.000000
8210,5119,2000-07-04 07:51:34.000000
1793,14612,1996-09-25 18:46:05.000000
7818,7134,2001-08-25 15:11:24.000000
7102,16558,2013-12-11 09:41:41.000000
7296,16436,2012-11-01 13:50:25.000000
4121,7742,1998-07-19 18:04:45.000000
5575,13090,2015-07-24 03:18:59.000000
9671,8388,2022-03-23 07:08:24.000000
3429,6748,2001-08-04 17:05:08.000000
3252,5158,2007-10-27 19:55:08.000000
5662,16296,2024-10-31 09:11:24.000000
7926,13383,2000-06-13 06:30:08.000000
3677,18986,2006-02-14 14:22:35.000000
6930,18160,2010-02-11 19:21:37.000000
2019,8949,2019-02-19 16:13:14.000000
1354,7364,2015-02-09 16:10:18.000000
640,5699,2012-12-12 04:49:19.000000
40,9499,2000-07-31 06:39:21.000000
80,437,2011-05-31 16:00:56.000000
1808,200,2016-05-27 18:46:44.000000
3719,1746,2010-04-24 23:01:44.000000
7009,2244,2003-07-03 10:51:04.000000
1327,2371,2025-05-14 22:57:27.000000
8486,1294,2011-12-10 04:05:03.000000
1005,1161,2014-12-11 21:06:17.000000
9200,6711,2006-03-15 09:55:45.000000
5128,16041,2005-07-10 14:49:35.000000
7674,135,2011-04-16 02:17:52.000000
9693,6810,2023-07-22 05:53:28.000000
8546,10270,1995-12-05 11:09:05.000000
9909,55,1997-12-23 21:49:08.000000
4721,10630,2003-09-04 18:57:44.000000
8023,3746,2015-05-12 17:02:44.000000
2453,3259,2005-09-29 14:29:58.000000
4592,9021,1999-09-08 19:29:09.000000
6087,15085,1997-12-03 11:34:49.000000
2108,16808,2023-10-15 05:39:23.000000
1745,9502,2012-12-23 19:47:26.000000
7494,12892,2025-09-12 03:56:57.000000
4217,3794,2025-05-14 02:39:16.000000
8268,80,2019-03-07 14:40:55.000000
3238,2474,2007-07-19 19:01:26.000000
6173,7124,2001-01-03 20:28:29.000000
6738,13105,2017-01-27 13:36:08.000000
135,1325,2008-07-31 19:57:02.000000
4792,13886,2007-08-04 18:24:05.000000
2695,1983,1998-10-14 18:11:33.000000
2187,3269,2025-11-16 20:24:36.000000
3091,5083,1998-06-28 16:40:52.000000
6900,7797,2015-02-23 06:48:13.000000
9803,10297,2023-03-23 10:21:07.000000
779,15487,2019-03-27 22:13:06.000000
3043,6541,1996-10-31 13:45:22.000000
2658,12672,2023-01-16 14:36:45.000000
5397,4295,1996-09-19 21:33:26.000000
9394,10746,2016-08-20 03:16:34.000000
4199,19934,2017-03-31 22:33:47.000000
2972,17440,2006-02-21 08:10:23.000000
7944,11191,2019-11-12 20:14:32.000000
7153,12280,2009-04-20 17:56:08.000000
1906,1953,2002-10-04 15:37:23.000000
5294,17184,2005-12-27 17:24:50.000000
3295,11854,2017-02-01 12:58:49.000000
417,4380,2016-10-03 12:25:20.000000
6475,10233,2016-02-07 07:26:36.000000
9793,7658,2006-01-12 22:08:35.000000
4232,1711,2013-10-16 15:31:44.000000
5728,3593,1997-07-09 15:36:04.000000
6876,1516,2025-08-07 17:20:02.000000
3199,16225,2020-09-24 23:20:27.000000
1176,5507,2004-07-17 09:24:07.000000
3801,15349,2005-12-07 10:11:11.000000
5998,13366,2008-09-05 00:03:38.000000
8532,8830,2018-03-30 15:39:41.000000
4067,14726,2021-09-03 09:22:18.000000
2485,18238,2000-12-26 07:19:24.000000
9127,14043,2024-05-20 10:11:44.000000
7141,5968,2009-01-26 15:27:17.000000
6127,3530,1997-04-11 17:33:27.000000
4162,12464,2009-04-03 17:06:29.000000
5085,4538,2013-12-24 17:09:09.000000
4751,11215,2012-11-14 14:39:09.000000
6279,12297,1997-03-17 19:13:50.000000
6882,19277,2005-09-04 10:23:42.000000
6988,11438,2008-04-06 21:12:55.000000
5211,7568,2010-05-04 07:20:13.000000
2981,11098,2000-07-16 07:01:37.000000
7564,9467,2022-10-28 05:02:57.000000
180,6764,2025-02-04 00:02:09.000000
5358,4678,2025-06-08 17:41:15.000000
